area_kerja_line,kode_asli_sistem,kode_asli_normalized,display_laporan,deskripsi_produk,target_botol_preform,target_thermoforming,target_thermoforming_gw_gt_12,target_printing_non_oz,target_printing_oz_lt_20,target_printing_22_oz,active_target_type,active_target,target_achievement_rate,target_reject_rate
THERMOFORMING,THERMO 7 HENGFENG-OZ,THERMO 7 HENGFENG-OZ,Hengfeng 4,Thermoforming Cup OZ (Alias Nama Sistem),,950400,855360,,,,target_thermoforming_gw_gt_12,855360,0.8,0.03
THERMOFORMING,THERMO HENGFENG-3,THERMO HENGFENG-3,Hengfeng 3,Thermoforming Cup,,489600,489600,,,,target_thermoforming,489600,0.8,0.03
THERMOFORMING,THERMO HENGFENG-3,THERMO HENGFENG-3,Hengfeng 3,Thermoforming Cup,,489600,489600,,,,target_thermoforming_gw_gt_12,489600,0.8,0.03
THERMOFORMING,THERMO HENGFENG-4,THERMO HENGFENG-4,Hengfeng 4,Thermoforming Cup,,950400,855360,,,,target_thermoforming,950400,0.8,0.03
THERMOFORMING,THERMO HENGFENG-4,THERMO HENGFENG-4,Hengfeng 4,Thermoforming Cup,,950400,855360,,,,target_thermoforming_gw_gt_12,855360,0.8,0.03
THERMOFORMING,THERMO ILLIG-1,THERMO ILLIG-1,Illig 1,Thermoforming Cup,,1620000,,,,,target_thermoforming,1620000,0.8,0.03
THERMOFORMING,THERMO 1 ILLIG,THERMO 1 ILLIG,Illig 1,Thermoforming Cup (Duplikasi Nama Sistem),,1620000,,,,,target_thermoforming,1620000,0.8,0.03
THERMOFORMING,THERMO ILLIG-2,THERMO ILLIG-2,Illig 2,Thermoforming Cup,,1620000,,,,,target_thermoforming,1620000,0.8,0.03
THERMOFORMING,THERMO 2 ILLIG,THERMO 2 ILLIG,Illig 2,Thermoforming Cup (Duplikasi Nama Sistem),,1620000,,,,,target_thermoforming,1620000,0.8,0.03
THERMOFORMING,THERMO ILLIG-3,THERMO ILLIG-3,Illig 3,Thermoforming Cup,,1620000,,,,,target_thermoforming,1620000,0.8,0.03
PRINTING,OMSO 1-OZ,OMSO 1-OZ,OMSO 1,Printing Cup OZ,,,,648000,432000,360000,target_printing_non_oz,648000,0.85,0.017
PRINTING,OMSO 1-OZ,OMSO 1-OZ,OMSO 1,Printing Cup OZ,,,,648000,432000,360000,target_printing_oz_lt_20,432000,0.85,0.017
PRINTING,OMSO 1-OZ,OMSO 1-OZ,OMSO 1,Printing Cup OZ,,,,648000,432000,360000,target_printing_22_oz,360000,0.85,0.017
PRINTING,OMSO 2-OZ,OMSO 2-OZ,OMSO 2,Printing Cup OZ,,,,648000,432000,360000,target_printing_non_oz,648000,0.85,0.017
PRINTING,OMSO 2-OZ,OMSO 2-OZ,OMSO 2,Printing Cup OZ,,,,648000,432000,360000,target_printing_oz_lt_20,432000,0.85,0.017
PRINTING,OMSO 2-OZ,OMSO 2-OZ,OMSO 2,Printing Cup OZ,,,,648000,432000,360000,target_printing_22_oz,360000,0.85,0.017
PRINTING,CAI-1,CAI-1,CAI 1,Cup Regular,,,,648000,,,target_printing_non_oz,648000,0.85,0.017
PRINTING,CAI-2,CAI-2,CAI 2,Cup Regular,,,,648000,,,target_printing_non_oz,648000,0.85,0.017
PRINTING,POLYPRINT 1 PRINTING-OZ,POLYPRINT 1 PRINTING-OZ,Polyprint 1,Printing Cup OZ,,,,,384000,288000,target_printing_oz_lt_20,384000,0.85,0.017
PRINTING,POLYPRINT 1 PRINTING-OZ,POLYPRINT 1 PRINTING-OZ,Polyprint 1,Printing Cup OZ,,,,,384000,288000,target_printing_22_oz,288000,0.85,0.017
PRINTING,POLYPRINT PRINTING-OZ,POLYPRINT PRINTING-OZ,Polyprint 1,Printing Cup OZ (Duplikasi Nama Sistem),,,,,384000,288000,target_printing_oz_lt_20,384000,0.85,0.017
PRINTING,POLYPRINT PRINTING-OZ,POLYPRINT PRINTING-OZ,Polyprint 1,Printing Cup OZ (Duplikasi Nama Sistem),,,,,384000,288000,target_printing_22_oz,288000,0.85,0.017
PRINTING,POLYPRINT 2 PRINTING-OZ,POLYPRINT 2 PRINTING-OZ,Polyprint 2,Printing Cup OZ,,,,,384000,288000,target_printing_oz_lt_20,384000,0.85,0.017
PRINTING,POLYPRINT 2 PRINTING-OZ,POLYPRINT 2 PRINTING-OZ,Polyprint 2,Printing Cup OZ,,,,,384000,288000,target_printing_22_oz,288000,0.85,0.017
PRINTING,POLYPRINT PRINTING-OZ-2,POLYPRINT PRINTING-OZ-2,Polyprint 2,Printing Cup OZ (Duplikasi Nama Sistem),,,,,384000,288000,target_printing_oz_lt_20,384000,0.85,0.017
PRINTING,POLYPRINT PRINTING-OZ-2,POLYPRINT PRINTING-OZ-2,Polyprint 2,Printing Cup OZ (Duplikasi Nama Sistem),,,,,384000,288000,target_printing_22_oz,288000,0.85,0.017
PRINTING,NEWDO-1,NEWDO-1,Newdo 1,Cup Regular,,,,720000,,,target_printing_non_oz,720000,0.85,0.017
PRINTING,NEWDO-2,NEWDO-2,Newdo 2,Cup Regular,,,,720000,,,target_printing_non_oz,720000,0.85,0.017
